split,class_id,class_name,class_label,filename,path,extension,exists,readable,error,file_size_kb,width,height,aspect_ratio,mode,brightness,contrast,mean_r,mean_g,mean_b,green_excess,saturation,md5
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_1.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_1.jpg,.jpg,True,True,,10.421875,224,224,1.0,RGB,104.47875,65.115074,90.56098,121.17028,101.705,50.074577,43.45737,fd59610f7694c085de38ca7c824df92c
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_10.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_10.jpg,.jpg,True,True,,11.712890625,224,224,1.0,RGB,100.09377,56.40962,89.085815,124.31816,86.877335,72.67317,49.301617,b5393266ed924fec433bbb8daec59eeb
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_101.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_101.jpg,.jpg,True,True,,10.7568359375,224,224,1.0,RGB,119.70865,62.84544,113.52483,126.65165,118.94948,20.828981,26.224749,6f46328849256842ccf5dd83f6dbb4e6
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_102.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_102.jpg,.jpg,True,True,,11.208984375,224,224,1.0,RGB,125.225716,58.33166,109.594826,142.63399,123.44832,52.224827,42.92034,0c7abe5c28ca6bcc329f5f53964b442b
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_103.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_103.jpg,.jpg,True,True,,11.431640625,224,224,1.0,RGB,111.3616,58.217457,87.29988,126.65948,120.125435,45.893635,47.07049,f7dc93027790b002f264c3c472719b27
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_105.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_105.jpg,.jpg,True,True,,11.421875,224,224,1.0,RGB,129.28877,57.669327,108.819855,143.23741,135.80904,41.84592,46.26919,8efad1236cc463700a90fc32a1397e02
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_106.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_106.jpg,.jpg,True,True,,9.73046875,224,224,1.0,RGB,99.98272,48.98994,87.383766,121.22806,91.336334,63.736008,43.484116,5d6df7d5e9638fceb90e2a7bb3543966
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_107.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_107.jpg,.jpg,True,True,,10.9677734375,224,224,1.0,RGB,103.0179,52.93447,89.28292,111.85274,107.91803,26.504524,36.444237,46edaf561a3b26014b71364f291ef6d6
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_109.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_109.jpg,.jpg,True,True,,10.4228515625,224,224,1.0,RGB,110.74885,61.32433,86.95934,129.74976,115.537445,57.00273,47.3466,8f65d857152578a55a6da7d91e742ba7
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_11.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_11.jpg,.jpg,True,True,,11.4345703125,224,224,1.0,RGB,111.98327,53.193207,88.356026,143.40639,104.1874,94.26935,64.36059,7decccef83d656c743800f1f7592bcbd
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_110.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_110.jpg,.jpg,True,True,,12.15234375,224,224,1.0,RGB,111.3393,54.032898,100.281746,132.42258,101.313576,63.24982,48.48551,d48d0d4f38acfa666e252acc5905efc8
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_111.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_111.jpg,.jpg,True,True,,12.6826171875,224,224,1.0,RGB,128.70071,42.76935,124.25825,145.41858,116.425285,50.15364,41.595665,4fe54b9f6de5dd6288400cbf7bd13243
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_112.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_112.jpg,.jpg,True,True,,11.1552734375,224,224,1.0,RGB,94.86425,53.753296,76.83119,114.47272,93.28884,58.825394,44.612602,12952849162a8e98dc2d4681ea1270e2
train,0,ALGAL_LEAF_SPOT,Algal Leaf Spot,to_label_113.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_113.jpg,.jpg,True,True,,11.8037109375,224,224,1.0,RGB,101.58316,57.668148,92.48109,109.12795,103.14044,22.634367,28.379105,058b843e73c95f1c5f10fc4e3399f593
