image_id,filename,original_path,processed_image_path,pseudo_mask_path,class_name,class_idx,target_class,pred_class,confidence,threshold_method,threshold_value,mask_coverage,mask_area_ratio,num_components,largest_component_ratio,boundary_pixel_ratio,is_disease_class,segmentation_trust,pred_correct,recommended_use
to_label_1,ALGAL_LEAF_SPOT_to_label_1.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_1.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_1.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_1.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9829844236373901,fixed,0.5,0.12005739795918367,0.12005739795918367,1,1.0,0.015066964285714286,True,high,True,train_candidate
to_label_10,ALGAL_LEAF_SPOT_to_label_10.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_10.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_10.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_10.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.998840868473053,fixed,0.5,0.08529974489795919,0.08529974489795919,1,1.0,0.01371173469387755,True,high,True,train_candidate
to_label_101,ALGAL_LEAF_SPOT_to_label_101.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_101.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_101.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_101.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9998434782028198,fixed,0.5,0.26442920918367346,0.26442920918367346,1,1.0,0.02431441326530612,True,high,True,train_candidate
to_label_102,ALGAL_LEAF_SPOT_to_label_102.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_102.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_102.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_102.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9929437041282654,fixed,0.5,0.1448700573979592,0.1448700573979592,2,0.5711927362773421,0.021245216836734693,True,high,True,train_candidate
to_label_103,ALGAL_LEAF_SPOT_to_label_103.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_103.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_103.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_103.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9990956783294678,fixed,0.5,0.13871173469387754,0.13871173469387754,2,0.6093390804597701,0.022480867346938774,True,high,True,train_candidate
to_label_105,ALGAL_LEAF_SPOT_to_label_105.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_105.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_105.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_105.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9997039437294006,fixed,0.5,0.14977279974489796,0.14977279974489796,2,0.7582168995342649,0.021205357142857144,True,high,True,train_candidate
to_label_106,ALGAL_LEAF_SPOT_to_label_106.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_106.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_106.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_106.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9856928586959839,fixed,0.5,0.3693797831632653,0.3693797831632653,2,0.8469299665479659,0.032924107142857144,True,high,True,train_candidate
to_label_107,ALGAL_LEAF_SPOT_to_label_107.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_107.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_107.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_107.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9995143413543701,fixed,0.5,0.7001355229591837,0.7001355229591837,1,1.0,0.01132015306122449,True,high,True,manual_review
to_label_109,ALGAL_LEAF_SPOT_to_label_109.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_109.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_109.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_109.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9992269277572632,fixed,0.5,0.18949298469387754,0.18949298469387754,1,1.0,0.019491390306122448,True,high,True,train_candidate
to_label_11,ALGAL_LEAF_SPOT_to_label_11.jpg,E:\Master\thesis-clean\notebooks\data\raw\train\ALGAL_LEAF_SPOT\to_label_11.jpg,E:\Master\thesis-clean\notebooks\data\processed_train\ALGAL_LEAF_SPOT_to_label_11.jpg,E:\Master\thesis-clean\notebooks\data\pseudo_labels_train\ALGAL_LEAF_SPOT_to_label_11.jpg_pseudo.png,ALGAL_LEAF_SPOT,0,0,0,0.9880974888801575,fixed,0.5,0.06216119260204082,0.06216119260204082,1,1.0,0.01092155612244898,True,high,True,train_candidate
