method,split,iou,dice,precision,recall,pixel_accuracy,tp,fp,fn,tn
V1,full,0.2168885025365934,0.3564640508715321,0.24597370483797915,0.6471701322444839,,,,,
V2,full,0.19715771440288682,0.32937634203230154,0.245899061234623,0.4986605434364508,,,,,
V3,full,0.1351381060131238,0.23809984934390246,0.14087384642246636,0.7684696177230222,,,,,
V5,full,0.2182517798522566,0.3583032398749708,0.2358214696925359,0.7455075052086807,,,,,
FINAL_V5_threshold,holdout,0.25867870025991724,0.4110321406193655,0.378078641339537,0.45027862167559257,0.9208501076211689,55432.0,91183.0,67674.0,1792751.0
FINAL_V5_threshold,full,0.2728606880126831,0.4287361383415814,0.37588950155871825,0.49887315558955225,0.9221134107940029,117320.0,194793.0,117850.0,3584117.0
FINAL_V2_V5_fusion_30_70,holdout,0.2843035822210239,0.44273579262211593,0.4348657202845073,0.45089597582567453,0.930378069196424,55508.0,72136.0,67598.0,1811798.0
FINAL_V2_V5_fusion_30_70,full,0.28919897714801984,0.448649094940781,0.4171925155195331,0.4852362121018631,0.9301284478635181,114113.0,159413.0,121057.0,3619497.0
FINAL_V2_V3_V5_fusion,holdout,0.3075928293965639,0.4704718815849025,0.4310726096041582,0.5177976703003495,0.9285061583226994,63744.0,84129.0,59362.0,1799805.0
FINAL_V2_V3_V5_fusion,full,0.30833261718562766,0.47133674286724764,0.41279190542694294,0.5492324701279692,0.9278178312340538,129163.0,183738.0,106007.0,3595172.0
FINAL_V2_V5_consensus_min,holdout,0.27557635428060673,0.43208131501626174,0.4226043462727043,0.44199307913501845,0.928732860331628,54412.0,74342.0,68694.0,1809592.0
FINAL_V2_V5_consensus_min,full,0.27526097914450426,0.431693564919018,0.4057632661002022,0.46116426414931916,0.9288641481983396,108452.0,158827.0,126718.0,3620083.0
